Timestamp,ax,ay,az,gx,gy,gz
1764312859010,1.675,3.0963,9.2626,1.5508,-1.8708,-0.3259
1764312859020,0.8638,2.7302,8.9874,1.7452,-2.0956,-0.3024
1764312859030,-2.2851,2.3904,9.6646,1.9563,-2.3572,-0.111
1764312859040,-1.8879,2.5819,8.6429,2.016,-1.9568,0.595
1764312859050,0.8925,3.1059,8.272,1.4097,-0.956,1.1157
1764312859060,2.9958,3.6826,8.7697,0.7063,0.3152,1.2769
1764312859070,5.458,4.6636,8.5687,-0.2503,2.1702,1.347
1764312859080,10.5165,7.9322,6.2237,-2.1498,5.0041,1.0553
1764312859090,13.1892,10.2748,6.0682,-4.1174,5.0041,0.2268
1764312859100,13.1151,9.679,6.9464,-5.0041,5.0041,-0.848
1764312859110,11.3563,7.4895,6.8746,-5.0041,5.0041,-1.7688
1764312859120,9.1238,5.8265,5.7141,-5.0041,5.0041,-2.5187
1764312859130,5.8816,3.6203,3.6203,-5.0041,5.0041,-3.2634
1764312859140,3.271,0.9069,0.67,-5.0041,5.0041,-3.7153
1764312859150,-1.6391,-0.9404,-1.5577,-5.0041,5.0041,-3.7199
1764312859160,-6.341,-2.6895,-4.2209,-5.0041,5.0041,-3.4638
1764312859170,-10.3848,-3.5533,-6.3386,-3.8468,5.0041,-3.224
1764312859180,-15.7543,-4.9579,-7.4991,-1.2243,3.6501,-2.6811
1764312859190,-16.3143,-5.0225,-3.2925,0.4687,-1.3156,-2.0427
1764312859200,-14.7159,-6.4487,1.9334,1.1706,-3.9404,-1.4178
1764312859210,-12.2489,-6.4439,7.7192,1.1075,-4.3161,-0.7387
1764312859220,-9.1071,-5.2451,10.4901,0.6214,-3.0922,-0.1729
1764312859230,-6.128,-2.6154,10.8945,0.0576,-1.4271,-0.0307
1764312859240,-5.3336,-1.3161,8.9922,-0.4624,0.0855,-0.369
1764312859250,-6.2309,-1.3759,7.4584,-0.6106,0.4452,-0.6216
1764312859260,-7.7599,-1.9502,6.475,-0.5829,0.2569,-0.8454
1764312859270,-9.0401,-2.7039,6.2931,-0.4055,-0.2308,-0.9065
1764312859280,-10.4064,-3.5366,6.2524,0.0128,-1.1854,-0.8071
1764312859290,-11.0046,-4.197,6.1783,0.4016,-2.0093,-0.599
1764312859300,-10.995,-4.5081,6.4343,0.8074,-2.9373,-0.281
1764312859310,-10.3992,-4.4315,7.2407,1.2492,-3.8747,0.0385
1764312859320,-9.7938,-4.3238,8.1165,1.6814,-4.5998,0.2582
1764312859330,-8.7697,-4.0869,9.2267,2.2796,-5.0041,0.4879
1764312859340,-7.1498,-3.3188,9.6191,3.0869,-5.0041,0.6645
1764312859350,-6.2859,-2.5938,9.4564,3.5954,-5.0041,0.6804
1764312859360,-6.0299,-2.1846,9.2602,4.1794,-5.0041,0.6376
1764312859370,-5.8624,-2.1272,8.4012,4.4257,-5.0041,0.7062
1764312859380,-5.3767,-1.7228,7.9609,4.4766,-5.0041,0.8031
1764312859390,-4.2999,-0.7968,8.3797,4.4741,-5.0041,0.9449
1764312859400,-2.2421,0.012,9.4684,4.4334,-5.0041,1.0102
1764312859410,0.4331,0.8686,10.7438,4.308,-5.0041,0.947
1764312859420,2.5986,1.8473,12.7155,4.1068,-5.0041,0.7424
1764312859430,3.4361,2.7206,14.2062,3.8477,-5.0041,0.4754
1764312859440,3.6299,2.9599,14.2086,3.5096,-4.7082,0.2831
1764312859450,3.2351,2.79,11.4616,2.6275,-2.3802,0.1003
1764312859460,2.7206,2.6321,8.8917,1.662,-0.7466,0.0519
1764312859470,2.211,2.7015,7.322,0.8749,0.2411,0.0539
1764312859480,1.9502,2.7374,6.4774,-0.0803,1.0817,0.0591
1764312859490,1.8425,2.8259,7.1713,-0.5383,1.3178,0.0101
1764312859500,1.651,2.7111,7.7958,-0.6567,1.2449,-0.079
1764312859510,1.2203,2.2947,8.4658,-0.5038,0.8905,-0.1518
1764312859520,0.6939,1.943,9.0688,-0.168,0.4439,-0.1666
1764312859530,0.335,1.6869,9.2961,0.1888,0.0944,-0.1283
1764312859540,0.1268,1.407,8.9779,0.4537,-0.1501,-0.0496
1764312859550,0.0933,1.2562,8.8415,0.5962,-0.2787,0.0699
1764312859560,0.3709,1.5218,8.5041,0.6226,-0.2283,0.1921
1764312859570,0.7011,1.7587,8.1188,0.5621,-0.1405,0.2627
1764312859580,1.1581,2.1153,7.657,0.3989,-0.0365,0.3106
1764312859590,1.8568,2.5866,7.5278,0.1466,0.0695,0.2873
1764312859600,2.1966,2.7733,8.0471,-0.0562,0.1626,0.2043
1764312859610,2.1775,2.881,8.4826,-0.1978,0.2744,0.1069
1764312859620,1.998,2.8475,8.6812,-0.266,0.3143,0.0185
1764312859630,1.7372,2.8068,8.8199,-0.2677,0.2419,-0.0664
1764312859640,1.34,2.6895,9.0999,-0.2326,0.111,-0.1234
1764312859650,1.0074,2.3856,9.3966,-0.1555,-0.006,-0.1429
1764312859660,0.9906,2.2158,9.7914,-0.0695,-0.1168,-0.1374
1764312859670,1.4357,2.1966,10.1504,-0.0058,-0.1584,-0.1394
1764312859680,2.333,2.522,10.9902,0.0933,-0.1164,-0.2054
1764312859690,1.4596,2.9647,12.4235,0.1898,0.1813,-0.3377
1764312859700,0.603,1.0504,12.0981,0.3351,0.4794,-0.3344
1764312859710,-0.146,1.6223,11.4568,0.4667,0.7537,-0.1045
1764312859720,-0.2321,2.7159,9.4134,0.2967,1.2637,0.1744
1764312859730,0.4116,3.0772,7.7336,-0.2833,1.5962,0.3601
1764312859740,0.8375,3.2207,7.8987,-0.7112,1.7289,0.4502
1764312859750,1.194,3.6586,8.6094,-1.0606,1.8918,0.4468
