Timestamp,ax,ay,az,gx,gy,gz
1764388835690,2.2044,6.7226,8.482,0.2764,-0.1652,-0.1666
1764388835700,2.2044,6.7226,8.482,0.2764,-0.1652,-0.1666
1764388835710,0.6616,6.4211,8.4275,0.5264,-0.3641,-0.3911
1764388835720,0.6616,6.4211,8.4275,0.5264,-0.3641,-0.3911
1764388835730,0.6616,6.4211,8.4275,0.7592,-0.5596,-0.2425
1764388835740,0.874,6.3087,7.4925,0.7592,-0.5596,-0.2425
1764388835750,0.874,6.3087,7.4925,0.7311,-0.7518,-0.104
1764388835760,2.1344,6.9984,6.9757,0.7311,-0.7518,-0.104
1764388835770,2.1344,6.9984,6.9757,0.5933,-1.1078,-0.2025
1764388835780,3.2112,7.0911,8.1224,0.5933,-1.1078,-0.2025
1764388835790,3.2112,7.0911,8.1224,0.6898,-1.4287,-0.387
1764388835800,3.4062,6.9356,8.8355,0.6898,-1.4287,-0.387
1764388835810,3.4062,6.9356,8.8355,0.9998,-1.7234,-0.537
1764388835820,3.6849,6.9793,8.2905,0.9998,-1.7234,-0.537
1764388835830,3.6849,6.9793,8.2905,0.9998,-1.7234,-0.537
1764388835840,3.6849,6.9793,8.2905,1.3793,-2.3291,-0.7059
1764388835850,4.5799,7.2084,7.55,1.3793,-2.3291,-0.7059
1764388835860,4.5799,7.2084,7.55,1.9792,-3.6876,-1.0269
1764388835870,6.2644,7.5021,7.5535,1.9792,-3.6876,-1.0269
1764388835880,6.2644,7.5021,7.5535,2.9216,-5.7084,-1.5992
1764388835890,8.6351,8.2092,8.5125,2.9216,-5.7084,-1.5992
1764388835900,8.6351,8.2092,8.5125,4.0056,-7.4836,-2.4447
1764388835910,9.0574,8.3767,8.6656,4.0056,-7.4836,-2.4447
1764388835920,9.0574,8.3767,8.6656,4.7235,-8.2887,-3.1745
1764388835930,8.0961,7.9472,8.2247,4.7235,-8.2887,-3.1745
1764388835940,8.0961,7.9472,8.2247,4.9607,-7.9759,-3.6424
