Timestamp,ax,ay,az,gx,gy,gz
1764312213940,-2.1942,4.5248,8.26,0.7294,-1.4306,-0.0874
1764312213950,-2.1942,4.5248,8.26,0.7294,-1.4306,-0.0874
1764312213960,-1.931,3.4146,9.1693,1.7211,-3.0539,0.429
1764312213970,-1.931,3.4146,9.1693,1.7211,-3.0539,0.429
1764312213980,-1.1103,3.283,8.8032,3.3558,-5.0041,0.6206
1764312213990,-1.1103,3.283,8.8032,3.3558,-5.0041,0.6206
1764312214000,-0.1484,3.3547,6.8052,5.0041,-5.0041,0.6336
1764312214010,-0.1484,3.3547,6.8052,5.0041,-5.0041,0.6336
1764312214020,1.1725,4.9244,3.0317,5.0041,-5.0041,0.5023
1764312214030,1.1725,4.9244,3.0317,5.0041,-5.0041,0.5023
1764312214040,1.1725,4.9244,3.0317,5.0041,-5.0041,0.5023
1764312214050,2.9695,6.1184,0.8949,5.0041,-5.0041,0.37
1764312214060,4.7498,6.6377,0.4499,5.0041,-5.0041,-0.2737
1764312214070,4.7498,6.6377,0.4499,5.0041,-5.0041,-0.2737
1764312214080,3.2518,4.7186,-0.7537,5.0041,-5.0041,-1.4893
1764312214090,3.2518,4.7186,-0.7537,5.0041,-5.0041,-1.4893
1764312214100,-3.0604,1.4405,-3.7926,5.0041,-5.0041,-1.835
1764312214110,-3.0604,1.4405,-3.7926,5.0041,-5.0041,-1.835
1764312214120,-5.8241,0.3685,-8.7673,5.0041,-5.0041,-0.962
1764312214130,-5.8241,0.3685,-8.7673,5.0041,-5.0041,-0.962
1764312214140,-0.9523,1.9119,-13.4812,1.8821,0.8703,-0.1571
1764312214150,-0.9523,1.9119,-13.4812,1.8821,0.8703,-0.1571
1764312214160,-0.9523,1.9119,-13.4812,1.8821,0.8703,-0.1571
1764312214170,1.0361,2.7757,-15.7304,-0.2737,3.0742,-0.6952
1764312214180,-2.656,0.524,-12.8806,-0.0993,0.9681,-1.151
1764312214190,-2.656,0.524,-12.8806,-0.0993,0.9681,-1.151
1764312214200,-2.656,0.524,-12.8806,-0.0993,0.9681,-1.151
1764312214210,-5.1637,-1.3017,-9.9565,0.9061,-0.2627,-0.5594
1764312214220,-3.1394,-0.0144,-13.2108,1.4291,-0.3864,0.0195
1764312214230,-3.1394,-0.0144,-13.2108,1.4291,-0.3864,0.0195
1764312214240,-1.675,1.0074,-16.934,0.7257,0.4725,0.2314
1764312214250,-1.675,1.0074,-16.934,0.7257,0.4725,0.2314
1764312214260,-1.675,1.0074,-16.934,0.7257,0.4725,0.2314
1764312214270,0.9236,2.4407,-20.083,-1.0275,2.3705,0.3543
1764312214280,2.132,3.6012,-19.8652,-3.0939,4.0623,0.2329
