Timestamp,ax,ay,az,gx,gy,gz
1764394222150,1.1557,8.6955,4.0463,0.4042,-0.3639,-0.0414
1764394222160,0.9691,8.5519,3.941,0.3813,-0.2813,-0.0385
1764394222170,0.7035,8.6022,3.9529,0.3668,-0.2282,-0.0246
1764394222180,0.4977,8.6692,3.8644,0.3522,-0.2014,0.0693
1764394222190,0.6891,8.6405,3.7687,0.3525,-0.2176,0.1494
1764394222200,0.8279,8.6955,3.6323,0.3422,-0.2326,0.1918
1764394222210,1.1677,8.7577,3.3811,0.2909,-0.2054,0.2155
1764394222220,1.5721,8.918,3.3571,0.1596,-0.1394,0.2175
1764394222230,1.8425,9.0377,3.3906,0.0304,-0.077,0.1726
1764394222240,1.9143,9.0688,3.6347,-0.0861,0.0411,0.1025
1764394222250,2.1392,8.9922,3.7591,-0.1733,0.0622,0.0438
1764394222260,2.7613,8.8487,5.1494,-0.1634,-0.126,-0.0496
1764394222270,2.8905,8.5591,5.4437,0.0664,-0.1217,-0.1527
1764394222280,2.924,8.8822,4.7593,0.3778,-0.2482,-0.2741
1764394222290,1.8138,8.9827,3.8979,0.5621,-0.2243,-0.354
1764394222300,0.1723,8.6979,1.809,0.5893,-0.047,-0.3934
1764394222310,-0.3685,8.8104,0.1962,0.2892,-0.1307,-0.2599
1764394222320,-0.6437,9.1478,0.4738,-0.0803,-0.2647,-0.0272
1764394222330,0.6078,9.1837,1.5697,-0.4386,-0.3112,0.1521
1764394222340,1.5458,9.0353,2.948,-0.655,-0.2199,0.1857
1764394222350,1.9119,9.1454,3.7424,-0.7805,-0.0834,0.1567
1764394222360,1.9334,9.0855,4.2138,-0.8418,0.0272,0.1122
1764394222370,1.8353,8.9204,4.4459,-0.8686,0.1074,0.0938
