Timestamp,ax,ay,az,gx,gy,gz
1764394188170,-0.0514,8.8917,3.6353,0.416,-0.4904,-0.0095
1764394188180,-0.3876,8.616,4.404,0.416,-0.4904,-0.0095
1764394188190,-0.3876,8.616,4.404,0.6952,-0.4659,0.1092
1764394188200,-1.2939,8.6369,2.7248,0.6952,-0.4659,0.1092
1764394188210,-1.2939,8.6369,2.7248,0.6952,-0.4659,0.1092
1764394188220,-0.4175,8.8487,1.1982,0.2992,-0.2851,0.4275
1764394188230,-0.4175,8.8487,1.1982,0.2992,-0.2851,0.4275
1764394188240,1.8437,9.201,3.0832,-0.3007,-0.2796,0.4415
1764394188250,1.8437,9.201,3.0832,-0.3007,-0.2796,0.4415
1764394188260,2.12,9.265,5.3827,-0.0701,-0.5244,0.0499
1764394188270,2.12,9.265,5.3827,-0.0701,-0.5244,0.0499
1764394188280,2.12,9.265,5.3827,0.4467,-0.3884,-0.2729
1764394188290,0.5581,9.2632,2.8271,0.4467,-0.3884,-0.2729
1764394188300,0.5581,9.2632,2.8271,0.2401,-0.3412,-0.2286
1764394188310,-0.7669,9.3715,1.3077,0.2401,-0.3412,-0.2286
1764394188320,-0.7669,9.3715,1.3077,0.2401,-0.3412,-0.2286
1764394188330,-0.2088,9.3117,2.6369,-0.3186,-0.2679,0.0447
1764394188340,-0.2088,9.3117,2.6369,-0.3186,-0.2679,0.0447
