Timestamp,ax,ay,az,gx,gy,gz
1764393765170,0.7657,5.3216,7.6235,-0.1497,0.0214,-0.0221
1764393765180,0.8973,5.3623,7.8341,-0.1411,-0.0328,-0.0371
1764393765190,0.7944,5.3121,7.9729,-0.115,-0.0748,-0.0475
1764393765200,0.6652,5.2714,8.0423,-0.0929,-0.1133,-0.0396
1764393765210,0.7346,5.3121,8.2265,-0.068,-0.1539,-0.0156
1764393765220,0.737,5.3527,8.3342,-0.0437,-0.1594,-0.0031
1764393765230,0.7585,5.3336,8.3653,-0.0254,-0.1396,0.0087
1764393765240,0.7466,5.336,8.2959,-0.0205,-0.1264,0.0244
1764393765250,0.7107,5.3695,8.2457,-0.0221,-0.1321,0.0486
1764393765260,0.8303,5.3695,8.2576,-0.0276,-0.1203,0.075
1764393765270,0.9643,5.3743,8.1332,-0.0496,-0.0996,0.091
1764393765280,1.1438,5.4748,8.0734,-0.0874,-0.0863,0.0921
1764393765290,1.206,5.5059,8.1093,-0.1164,-0.071,0.0854
1764393765300,1.2251,5.5537,8.1188,-0.1411,-0.0478,0.0704
1764393765310,1.194,5.5418,8.0901,-0.1633,-0.0322,0.0509
1764393765320,1.0193,5.4102,8.1954,-0.1805,-0.0206,0.0408
1764393765330,0.9188,5.2905,8.205,-0.1843,0.0026,0.049
1764393765340,0.8925,5.214,8.1428,-0.1862,0.0186,0.0693
1764393765350,0.8279,5.1517,8.0327,-0.1877,0.0263,0.1151
1764393765360,0.8255,5.147,8.0375,-0.1869,-0.0101,0.1512
1764393765370,0.8901,5.1039,8.1093,-0.1729,-0.037,0.1681
1764393765380,0.8997,5.1565,8.2026,-0.12,-0.0761,0.1984
1764393765390,0.9787,5.1613,8.016,-0.088,-0.1095,0.2089
1764393765400,1.0696,5.202,8.1236,-0.0713,-0.1466,0.2126
1764393765410,1.1462,5.4221,8.1093,-0.0615,-0.1423,0.1991
1764393765420,1.2227,5.4652,8.1093,-0.0913,-0.1133,0.1834
1764393765430,1.7898,5.4724,8.2217,-0.16,-0.0231,0.1652
1764393765440,2.0698,5.4556,8.1691,-0.2236,0.1022,0.1359
1764393765450,2.7087,5.6231,7.8891,-0.3338,0.2963,0.0841
1764393765460,1.5218,5.4437,7.5924,-0.5244,0.3716,-0.0226
1764393765470,0.7992,5.5944,7.8293,-0.6258,0.3896,-0.087
1764393765480,0.3852,5.3408,7.9585,-0.6681,0.2836,-0.1005
1764393765490,0.2943,4.989,8.4347,-0.6661,0.1248,-0.0512
1764393765500,0.414,4.8048,8.8439,-0.6428,0.0591,-0.0104
1764393765510,0.7968,4.2808,9.5928,-0.5299,0.0872,0.0793
