Timestamp,ax,ay,az,gx,gy,gz
1764311079600,2.3964,2.2959,9.2046,-0.0015,0.0018,0.0191
1764311079610,2.3964,2.2959,9.2046,-0.0015,0.0018,0.0191
1764311079620,2.6387,2.6064,9.0036,0.002,0.0107,0.0863
1764311079630,2.6387,2.6064,9.0036,0.002,0.0107,0.0863
1764311079640,2.6387,2.6064,9.0036,0.0241,-0.0571,0.0958
1764311079650,2.8534,2.726,9.1179,0.0241,-0.0571,0.0958
1764311079660,2.8534,2.726,9.1179,0.0967,-0.1819,0.0887
1764311079670,2.9593,2.613,9.5474,0.0967,-0.1819,0.0887
1764311079680,2.9593,2.613,9.5474,0.0967,-0.1819,0.0887
1764311079690,2.924,2.5615,10.0325,0.2976,-0.4116,0.0967
1764311079700,2.924,2.5615,10.0325,0.6842,-0.8341,0.099
1764311079710,2.7727,2.6082,10.3017,0.6842,-0.8341,0.099
1764311079720,2.7727,2.6082,10.3017,0.6842,-0.8341,0.099
1764311079730,2.8588,2.6417,10.2377,1.0858,-1.1377,0.1173
1764311079740,2.8588,2.6417,10.2377,1.0858,-1.1377,0.1173
1764311079750,3.3039,2.7458,9.201,1.2559,-1.1115,0.1727
1764311079760,3.3039,2.7458,9.201,1.2559,-1.1115,0.1727
1764311079770,3.7938,2.9145,6.5599,1.1364,-0.6868,0.2033
1764311079780,3.7938,2.9145,6.5599,1.1364,-0.6868,0.2033
1764311079790,3.7938,2.9145,6.5599,0.3296,0.0925,0.1698
1764311079800,5.7075,4.1145,3.6227,0.3296,0.0925,0.1698
1764311079810,5.7075,4.1145,3.6227,-1.2686,1.0603,-0.3254
1764311079820,4.532,4.669,2.5537,-1.2686,1.0603,-0.3254
1764311079830,4.532,4.669,2.5537,-2.1173,0.7727,-0.7216
1764311079840,1.9621,2.4778,10.5571,-2.1173,0.7727,-0.7216
1764311079850,1.9621,2.4778,10.5571,-2.1173,0.7727,-0.7216
1764311079860,3.9176,2.9515,10.7216,-1.3187,1.1405,0.0722
1764311079870,3.9176,2.9515,10.7216,-1.3187,1.1405,0.0722
