Device: cuda, workers=14
Kernel sizes: [3, 5, 7, 9]
Channels: (32, 64)

========== Phase 1: Training Teachers (kernel size sweep) ==========
[teacher_k3] Epoch 1/50 | train=0.4573 | val=0.5582
[teacher_k3] Epoch 2/50 | train=0.5516 | val=0.6430
[teacher_k3] Epoch 3/50 | train=0.7615 | val=0.7751
[teacher_k3] Epoch 4/50 | train=0.8756 | val=0.9290
[teacher_k3] Epoch 5/50 | train=0.9190 | val=0.9310
[teacher_k3] Epoch 6/50 | train=0.9319 | val=0.8876
[teacher_k3] Epoch 7/50 | train=0.9422 | val=0.9645
[teacher_k3] Epoch 8/50 | train=0.9551 | val=0.9487
[teacher_k3] Epoch 9/50 | train=0.9501 | val=0.9704
[teacher_k3] Epoch 10/50 | train=0.9546 | val=0.9645
[teacher_k3] Epoch 11/50 | train=0.9640 | val=0.9684
[teacher_k3] Epoch 12/50 | train=0.9689 | val=0.9724
[teacher_k3] Epoch 13/50 | train=0.9659 | val=0.9665
[teacher_k3] Epoch 14/50 | train=0.9625 | val=0.9684
[teacher_k3] Epoch 15/50 | train=0.9689 | val=0.9744
[teacher_k3] Epoch 16/50 | train=0.9654 | val=0.9684
[teacher_k3] Epoch 17/50 | train=0.9728 | val=0.9744
[teacher_k3] Epoch 18/50 | train=0.9674 | val=0.9546
[teacher_k3] Epoch 19/50 | train=0.9714 | val=0.9744
[teacher_k3] Epoch 20/50 | train=0.9748 | val=0.9645
[teacher_k3] Epoch 21/50 | train=0.9704 | val=0.9704
[teacher_k3] Epoch 22/50 | train=0.9773 | val=0.9724
[teacher_k3] Epoch 23/50 | train=0.9644 | val=0.9507
[teacher_k3] Epoch 24/50 | train=0.9704 | val=0.9783
[teacher_k3] Epoch 25/50 | train=0.9748 | val=0.9803
[teacher_k3] Epoch 26/50 | train=0.9753 | val=0.9822
[teacher_k3] Epoch 27/50 | train=0.9723 | val=0.9724
[teacher_k3] Epoch 28/50 | train=0.9719 | val=0.9822
[teacher_k3] Epoch 29/50 | train=0.9743 | val=0.9744
[teacher_k3] Epoch 30/50 | train=0.9733 | val=0.9803
[teacher_k3] Epoch 31/50 | train=0.9738 | val=0.9704
[teacher_k3] Epoch 32/50 | train=0.9699 | val=0.9684
[teacher_k3] Epoch 33/50 | train=0.9723 | val=0.9763
[teacher_k3] Epoch 34/50 | train=0.9728 | val=0.9803
[teacher_k3] Epoch 35/50 | train=0.9758 | val=0.9803
[teacher_k3] Epoch 36/50 | train=0.9758 | val=0.9803
[teacher_k3] Epoch 37/50 | train=0.9719 | val=0.9704
[teacher_k3] Epoch 38/50 | train=0.9733 | val=0.9803
[teacher_k3] Epoch 39/50 | train=0.9773 | val=0.9783
[teacher_k3] Epoch 40/50 | train=0.9802 | val=0.9822
[teacher_k3] Epoch 41/50 | train=0.9783 | val=0.9527
[teacher_k3] Epoch 42/50 | train=0.9763 | val=0.9803
[teacher_k3] Epoch 43/50 | train=0.9788 | val=0.9783
[teacher_k3] Epoch 44/50 | train=0.9758 | val=0.9822
[teacher_k3] Epoch 45/50 | train=0.9807 | val=0.9803
[teacher_k3] Epoch 46/50 | train=0.9743 | val=0.9842
[teacher_k3] Epoch 47/50 | train=0.9699 | val=0.9783
[teacher_k3] Epoch 48/50 | train=0.9778 | val=0.9783
[teacher_k3] Epoch 49/50 | train=0.9758 | val=0.9803
[teacher_k3] Epoch 50/50 | train=0.9773 | val=0.9842
  Saved: ./models/snn1d_teacher_k3.pt (params=7652, 136.8KB)
[teacher_k5] Epoch 1/50 | train=0.4474 | val=0.4832
[teacher_k5] Epoch 2/50 | train=0.5704 | val=0.8166
[teacher_k5] Epoch 3/50 | train=0.7793 | val=0.8560
[teacher_k5] Epoch 4/50 | train=0.9091 | val=0.9329
[teacher_k5] Epoch 5/50 | train=0.9402 | val=0.9231
[teacher_k5] Epoch 6/50 | train=0.9491 | val=0.9270
[teacher_k5] Epoch 7/50 | train=0.9610 | val=0.9803
[teacher_k5] Epoch 8/50 | train=0.9654 | val=0.9606
[teacher_k5] Epoch 9/50 | train=0.9679 | val=0.9270
[teacher_k5] Epoch 10/50 | train=0.9679 | val=0.9744
[teacher_k5] Epoch 11/50 | train=0.9659 | val=0.9665
[teacher_k5] Epoch 12/50 | train=0.9714 | val=0.9803
[teacher_k5] Epoch 13/50 | train=0.9679 | val=0.9822
[teacher_k5] Epoch 14/50 | train=0.9758 | val=0.9744
[teacher_k5] Epoch 15/50 | train=0.9704 | val=0.9803
[teacher_k5] Epoch 16/50 | train=0.9694 | val=0.9566
[teacher_k5] Epoch 17/50 | train=0.9753 | val=0.9665
[teacher_k5] Epoch 18/50 | train=0.9768 | val=0.9744
[teacher_k5] Epoch 19/50 | train=0.9758 | val=0.9625
[teacher_k5] Epoch 20/50 | train=0.9758 | val=0.9724
[teacher_k5] Epoch 21/50 | train=0.9773 | val=0.9803
[teacher_k5] Epoch 22/50 | train=0.9758 | val=0.9724
[teacher_k5] Epoch 23/50 | train=0.9763 | val=0.9763
[teacher_k5] Epoch 24/50 | train=0.9684 | val=0.9803
[teacher_k5] Epoch 25/50 | train=0.9714 | val=0.9803
[teacher_k5] Epoch 26/50 | train=0.9743 | val=0.9822
[teacher_k5] Epoch 27/50 | train=0.9768 | val=0.9783
[teacher_k5] Epoch 28/50 | train=0.9783 | val=0.9803
[teacher_k5] Epoch 29/50 | train=0.9768 | val=0.9842
[teacher_k5] Epoch 30/50 | train=0.9768 | val=0.9842
[teacher_k5] Epoch 31/50 | train=0.9733 | val=0.9862
[teacher_k5] Epoch 32/50 | train=0.9802 | val=0.9803
[teacher_k5] Epoch 33/50 | train=0.9778 | val=0.9842
[teacher_k5] Epoch 34/50 | train=0.9802 | val=0.9803
[teacher_k5] Epoch 35/50 | train=0.9783 | val=0.9704
[teacher_k5] Epoch 36/50 | train=0.9788 | val=0.9744
[teacher_k5] Epoch 37/50 | train=0.9822 | val=0.9842
[teacher_k5] Epoch 38/50 | train=0.9802 | val=0.9822
